Date,Year,Month,Month Name,Quarter,Week
1/1/2022,2022,1,Jan,Q1,52
1/2/2022,2022,1,Jan,Q1,52
1/3/2022,2022,1,Jan,Q1,1
1/4/2022,2022,1,Jan,Q1,1
1/5/2022,2022,1,Jan,Q1,1
1/6/2022,2022,1,Jan,Q1,1
1/7/2022,2022,1,Jan,Q1,1
1/8/2022,2022,1,Jan,Q1,1
1/9/2022,2022,1,Jan,Q1,1
1/10/2022,2022,1,Jan,Q1,2
1/11/2022,2022,1,Jan,Q1,2
1/12/2022,2022,1,Jan,Q1,2
1/13/2022,2022,1,Jan,Q1,2
1/14/2022,2022,1,Jan,Q1,2
1/15/2022,2022,1,Jan,Q1,2
1/16/2022,2022,1,Jan,Q1,2
1/17/2022,2022,1,Jan,Q1,3
1/18/2022,2022,1,Jan,Q1,3
1/19/2022,2022,1,Jan,Q1,3
1/20/2022,2022,1,Jan,Q1,3
1/21/2022,2022,1,Jan,Q1,3
1/22/2022,2022,1,Jan,Q1,3
1/23/2022,2022,1,Jan,Q1,3
1/24/2022,2022,1,Jan,Q1,4
1/25/2022,2022,1,Jan,Q1,4
1/26/2022,2022,1,Jan,Q1,4
1/27/2022,2022,1,Jan,Q1,4
1/28/2022,2022,1,Jan,Q1,4
1/29/2022,2022,1,Jan,Q1,4
1/30/2022,2022,1,Jan,Q1,4
1/31/2022,2022,1,Jan,Q1,5
2/1/2022,2022,2,Feb,Q1,5
2/2/2022,2022,2,Feb,Q1,5
2/3/2022,2022,2,Feb,Q1,5
2/4/2022,2022,2,Feb,Q1,5
2/5/2022,2022,2,Feb,Q1,5
2/6/2022,2022,2,Feb,Q1,5
2/7/2022,2022,2,Feb,Q1,6
2/8/2022,2022,2,Feb,Q1,6
2/9/2022,2022,2,Feb,Q1,6
2/10/2022,2022,2,Feb,Q1,6
2/11/2022,2022,2,Feb,Q1,6
2/12/2022,2022,2,Feb,Q1,6
2/13/2022,2022,2,Feb,Q1,6
2/14/2022,2022,2,Feb,Q1,7
2/15/2022,2022,2,Feb,Q1,7
2/16/2022,2022,2,Feb,Q1,7
2/17/2022,2022,2,Feb,Q1,7
2/18/2022,2022,2,Feb,Q1,7
2/19/2022,2022,2,Feb,Q1,7
2/20/2022,2022,2,Feb,Q1,7
2/21/2022,2022,2,Feb,Q1,8
2/22/2022,2022,2,Feb,Q1,8
2/23/2022,2022,2,Feb,Q1,8
2/24/2022,2022,2,Feb,Q1,8
2/25/2022,2022,2,Feb,Q1,8
2/26/2022,2022,2,Feb,Q1,8
2/27/2022,2022,2,Feb,Q1,8
2/28/2022,2022,2,Feb,Q1,9
3/1/2022,2022,3,Mar,Q1,9
3/2/2022,2022,3,Mar,Q1,9
3/3/2022,2022,3,Mar,Q1,9
3/4/2022,2022,3,Mar,Q1,9
3/5/2022,2022,3,Mar,Q1,9
3/6/2022,2022,3,Mar,Q1,9
3/7/2022,2022,3,Mar,Q1,10
3/8/2022,2022,3,Mar,Q1,10
3/9/2022,2022,3,Mar,Q1,10
3/10/2022,2022,3,Mar,Q1,10
3/11/2022,2022,3,Mar,Q1,10
3/12/2022,2022,3,Mar,Q1,10
3/13/2022,2022,3,Mar,Q1,10
3/14/2022,2022,3,Mar,Q1,11
3/15/2022,2022,3,Mar,Q1,11
3/16/2022,2022,3,Mar,Q1,11
3/17/2022,2022,3,Mar,Q1,11
3/18/2022,2022,3,Mar,Q1,11
3/19/2022,2022,3,Mar,Q1,11
3/20/2022,2022,3,Mar,Q1,11
3/21/2022,2022,3,Mar,Q1,12
3/22/2022,2022,3,Mar,Q1,12
3/23/2022,2022,3,Mar,Q1,12
3/24/2022,2022,3,Mar,Q1,12
3/25/2022,2022,3,Mar,Q1,12
3/26/2022,2022,3,Mar,Q1,12
3/27/2022,2022,3,Mar,Q1,12
3/28/2022,2022,3,Mar,Q1,13
3/29/2022,2022,3,Mar,Q1,13
3/30/2022,2022,3,Mar,Q1,13
3/31/2022,2022,3,Mar,Q1,13
4/1/2022,2022,4,Apr,Q2,13
4/2/2022,2022,4,Apr,Q2,13
4/3/2022,2022,4,Apr,Q2,13
4/4/2022,2022,4,Apr,Q2,14
4/5/2022,2022,4,Apr,Q2,14
4/6/2022,2022,4,Apr,Q2,14
4/7/2022,2022,4,Apr,Q2,14
4/8/2022,2022,4,Apr,Q2,14
4/9/2022,2022,4,Apr,Q2,14
4/10/2022,2022,4,Apr,Q2,14
4/11/2022,2022,4,Apr,Q2,15
4/12/2022,2022,4,Apr,Q2,15
4/13/2022,2022,4,Apr,Q2,15
4/14/2022,2022,4,Apr,Q2,15
4/15/2022,2022,4,Apr,Q2,15
4/16/2022,2022,4,Apr,Q2,15
4/17/2022,2022,4,Apr,Q2,15
4/18/2022,2022,4,Apr,Q2,16
4/19/2022,2022,4,Apr,Q2,16
4/20/2022,2022,4,Apr,Q2,16
4/21/2022,2022,4,Apr,Q2,16
4/22/2022,2022,4,Apr,Q2,16
4/23/2022,2022,4,Apr,Q2,16
4/24/2022,2022,4,Apr,Q2,16
4/25/2022,2022,4,Apr,Q2,17
4/26/2022,2022,4,Apr,Q2,17
4/27/2022,2022,4,Apr,Q2,17
4/28/2022,2022,4,Apr,Q2,17
4/29/2022,2022,4,Apr,Q2,17
4/30/2022,2022,4,Apr,Q2,17
5/1/2022,2022,5,May,Q2,17
5/2/2022,2022,5,May,Q2,18
5/3/2022,2022,5,May,Q2,18
5/4/2022,2022,5,May,Q2,18
5/5/2022,2022,5,May,Q2,18
5/6/2022,2022,5,May,Q2,18
5/7/2022,2022,5,May,Q2,18
5/8/2022,2022,5,May,Q2,18
5/9/2022,2022,5,May,Q2,19
5/10/2022,2022,5,May,Q2,19
5/11/2022,2022,5,May,Q2,19
5/12/2022,2022,5,May,Q2,19
5/13/2022,2022,5,May,Q2,19
5/14/2022,2022,5,May,Q2,19
5/15/2022,2022,5,May,Q2,19
5/16/2022,2022,5,May,Q2,20
5/17/2022,2022,5,May,Q2,20
5/18/2022,2022,5,May,Q2,20
5/19/2022,2022,5,May,Q2,20
5/20/2022,2022,5,May,Q2,20
5/21/2022,2022,5,May,Q2,20
5/22/2022,2022,5,May,Q2,20
