forecast_id,product_id,brand_name,year,month,actual_units,predicted_units,recommended_stock,variance_pct,model_used,accuracy_pct
FC00001,PRD001,Sunsilk,2022,1,1041,991,1238,4.8,ARIMA,95.4
FC00002,PRD001,Sunsilk,2022,2,848,803,1003,5.3,ARIMA,85.5
FC00003,PRD001,Sunsilk,2022,3,967,959,1198,0.8,Random Forest,88.9
FC00004,PRD001,Sunsilk,2022,4,1117,1188,1485,6.4,Random Forest,83.9
FC00005,PRD001,Sunsilk,2022,5,1248,1361,1701,9.1,Random Forest,86.0
FC00006,PRD001,Sunsilk,2022,6,758,755,943,0.4,Random Forest,91.2
FC00007,PRD001,Sunsilk,2022,7,944,1014,1267,7.4,Linear Regression,82.7
FC00008,PRD001,Sunsilk,2022,8,1691,1602,2002,5.3,Linear Regression,91.3
FC00009,PRD001,Sunsilk,2022,9,745,735,918,1.3,Random Forest,90.0
FC00010,PRD001,Sunsilk,2022,10,1763,1753,2191,0.6,Random Forest,85.6
FC00011,PRD001,Sunsilk,2022,11,1360,1484,1855,9.1,Linear Regression,93.8
FC00012,PRD001,Sunsilk,2022,12,1662,1538,1922,7.5,Random Forest,87.8
FC00013,PRD001,Sunsilk,2023,1,1011,998,1247,1.3,ARIMA,84.1
FC00014,PRD001,Sunsilk,2023,2,667,731,913,9.6,Random Forest,82.0
FC00015,PRD001,Sunsilk,2023,3,1048,1115,1393,6.4,ARIMA,84.0
FC00016,PRD001,Sunsilk,2023,4,1385,1414,1767,2.1,Random Forest,96.0
FC00017,PRD001,Sunsilk,2023,5,997,1012,1265,1.5,Random Forest,95.4
FC00018,PRD001,Sunsilk,2023,6,1024,922,1152,10.0,Random Forest,84.5
FC00019,PRD001,Sunsilk,2023,7,1170,1187,1483,1.5,Random Forest,88.1
FC00020,PRD001,Sunsilk,2023,8,537,579,723,7.8,Random Forest,90.7
FC00021,PRD001,Sunsilk,2023,9,1127,1196,1495,6.1,Linear Regression,82.4
FC00022,PRD001,Sunsilk,2023,10,1940,2035,2543,4.9,Random Forest,89.9
FC00023,PRD001,Sunsilk,2023,11,1336,1398,1747,4.6,Random Forest,96.9
FC00024,PRD001,Sunsilk,2023,12,1210,1116,1395,7.8,Random Forest,89.2
FC00025,PRD001,Sunsilk,2024,1,538,516,645,4.1,Random Forest,86.6
FC00026,PRD001,Sunsilk,2024,2,484,521,651,7.6,ARIMA,94.6
FC00027,PRD001,Sunsilk,2024,3,1353,1422,1777,5.1,Random Forest,88.1
FC00028,PRD001,Sunsilk,2024,4,1188,1240,1550,4.4,ARIMA,90.6
FC00029,PRD001,Sunsilk,2024,5,1552,1588,1985,2.3,Random Forest,82.7
FC00030,PRD001,Sunsilk,2024,6,1047,982,1227,6.2,Linear Regression,84.5
FC00031,PRD001,Sunsilk,2024,7,837,756,945,9.7,Linear Regression,89.4
FC00032,PRD001,Sunsilk,2024,8,1264,1384,1730,9.5,Random Forest,94.2
FC00033,PRD001,Sunsilk,2024,9,1082,1073,1341,0.8,Random Forest,90.7
FC00034,PRD001,Sunsilk,2024,10,1198,1294,1617,8.0,Random Forest,95.4
FC00035,PRD001,Sunsilk,2024,11,1040,987,1233,5.1,Linear Regression,84.3
FC00036,PRD001,Sunsilk,2024,12,1967,2020,2525,2.7,Linear Regression,82.4
